msa_city,msa_state,msa,Personal_Income_2018,Personal_Income_2019
Salem,OR,"Salem, OR",42714,44403
Salinas,CA,"Salinas, CA",56193,58035
Salisbury,MD-DE,"Salisbury, MD-DE",48296,49777
Salt Lake City,UT,"Salt Lake City, UT",51736,54056
San Angelo,TX,"San Angelo, TX",46406,48802
San Antonio-New Braunfels,TX,"San Antonio-New Braunfels, TX",46995,48946
San Diego-Chula Vista-Carlsbad,CA,"San Diego-Chula Vista-Carlsbad, CA",61386,64091
San Francisco-Oakland-Berkeley,CA,"San Francisco-Oakland-Berkeley, CA",99424,106377
San Jose-Sunnyvale-Santa Clara,CA,"San Jose-Sunnyvale-Santa Clara, CA",106213,114624
San Luis Obispo-Paso Robles,CA,"San Luis Obispo-Paso Robles, CA",58491,61423
Santa Cruz-Watsonville,CA,"Santa Cruz-Watsonville, CA",69355,73852
Santa Fe,NM,"Santa Fe, NM",58510,60700
Santa Maria-Santa Barbara,CA,"Santa Maria-Santa Barbara, CA",62690,65498
Santa Rosa-Petaluma,CA,"Santa Rosa-Petaluma, CA",64501,68281
Savannah,GA,"Savannah, GA",47144,49264
Scranton--Wilkes-Barre,PA,"Scranton--Wilkes-Barre, PA",46175,48009
Seattle-Tacoma-Bellevue,WA,"Seattle-Tacoma-Bellevue, WA",74620,79131
Sebastian-Vero Beach,FL,"Sebastian-Vero Beach, FL",76059,79382
Sebring-Avon Park,FL,"Sebring-Avon Park, FL",33453,34112
Sheboygan,WI,"Sheboygan, WI",52851,55496
Sherman-Denison,TX,"Sherman-Denison, TX",42195,43355
Shreveport-Bossier City,LA,"Shreveport-Bossier City, LA",46509,48188
Sierra Vista-Douglas,AZ,"Sierra Vista-Douglas, AZ",40308,41723
Sioux City,IA-NE-SD,"Sioux City, IA-NE-SD",50586,52390
Sioux Falls,SD,"Sioux Falls, SD",59520,61318
South Bend-Mishawaka,IN-MI,"South Bend-Mishawaka, IN-MI",47244,49249
Spartanburg,SC,"Spartanburg, SC",43148,44381
