Metropolitan area,Unemployment Rate,Rank,Year,Month,City/Area,State
"Jackson, TN Metropolitan Statistical Area",3.8,119,2020,3,Jackson,TN
"Lincoln, NE Metropolitan Statistical Area",3.8,119,2020,3,Lincoln,NE
"Niles-Benton Harbor, MI Metropolitan Statistical Area",3.8,119,2020,3,Niles-Benton Harbor,MI
"Ogden-Clearfield, UT Metropolitan Statistical Area",3.8,119,2020,3,Ogden-Clearfield,UT
"Salt Lake City, UT Metropolitan Statistical Area",3.8,119,2020,3,Salt Lake City,UT
"San Luis Obispo-Paso Robles-Arroyo Grande, CA Metropolitan Statistical Area",3.8,119,2020,3,San Luis Obispo-Paso Robles-Arroyo Grande,CA
"Sioux City, IA-NE-SD Metropolitan Statistical Area",3.8,119,2020,3,Sioux City,IA-NE-SD
"South Bend-Mishawaka, IN-MI Metropolitan Statistical Area",3.8,119,2020,3,South Bend-Mishawaka,IN-MI
"Anniston-Oxford-Jacksonville, AL Metropolitan Statistical Area",3.9,129,2020,3,Anniston-Oxford-Jacksonville,AL
"Bend-Redmond, OR Metropolitan Statistical Area",3.9,129,2020,3,Bend-Redmond,OR
"Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area",3.9,129,2020,3,Charlotte-Concord-Gastonia,NC-SC
"Cleveland, TN Metropolitan Statistical Area",3.9,129,2020,3,Cleveland,TN
"Coeur d'Alene, ID Metropolitan Statistical Area",3.9,129,2020,3,Coeur d'Alene,ID
"Gainesville, FL Metropolitan Statistical Area",3.9,129,2020,3,Gainesville,FL
"Hagerstown-Martinsburg, MD-WV Metropolitan Statistical Area",3.9,129,2020,3,Hagerstown-Martinsburg,MD-WV
"Hartford-West Hartford-East Hartford, CT Metropolitan NECTA",3.9,129,2020,3,Hartford-West Hartford-East Hartford,CT
"Jonesboro, AR Metropolitan Statistical Area",3.9,129,2020,3,Jonesboro,AR
"Kansas City, MO-KS Metropolitan Statistical Area",3.9,129,2020,3,Kansas City,MO-KS
"Lynchburg, VA Metropolitan Statistical Area",3.9,129,2020,3,Lynchburg,VA
"Midland, MI Metropolitan Statistical Area",3.9,129,2020,3,Midland,MI
"Missoula, MT Metropolitan Statistical Area",3.9,129,2020,3,Missoula,MT
"Peoria, IL Metropolitan Statistical Area",3.9,129,2020,3,Peoria,IL
"Springfield, MA-CT Metropolitan NECTA",3.9,129,2020,3,Springfield,MA-CT
"Springfield, MO Metropolitan Statistical Area",3.9,129,2020,3,Springfield,MO
"Abilene, TX Metropolitan Statistical Area",4.0,145,2020,3,Abilene,TX
"Blacksburg-Christiansburg-Radford, VA Metropolitan Statistical Area",4.0,145,2020,3,Blacksburg-Christiansburg-Radford,VA
"Boulder, CO Metropolitan Statistical Area",4.0,145,2020,3,Boulder,CO
"Bridgeport-Stamford-Norwalk, CT Metropolitan NECTA",4.0,145,2020,3,Bridgeport-Stamford-Norwalk,CT
"Eugene, OR Metropolitan Statistical Area",4.0,145,2020,3,Eugene,OR
"Hickory-Lenoir-Morganton, NC Metropolitan Statistical Area",4.0,145,2020,3,Hickory-Lenoir-Morganton,NC
"Janesville-Beloit, WI Metropolitan Statistical Area",4.0,145,2020,3,Janesville-Beloit,WI
"Miami-Fort Lauderdale-West Palm Beach, FL Metropolitan Statistical Area",4.0,145,2020,3,Miami-Fort Lauderdale-West Palm Beach,FL
"Muncie, IN Metropolitan Statistical Area",4.0,145,2020,3,Muncie,IN
"Napa, CA Metropolitan Statistical Area",4.0,145,2020,3,Napa,CA
"Naples-Immokalee-Marco Island, FL Metropolitan Statistical Area",4.0,145,2020,3,Naples-Immokalee-Marco Island,FL
