City/Area,State,Metropolitan area,Unified City,Unified State
Alexandria,LA,"Alexandria, LA Metropolitan Statistical Area",Alexandria,LA
Hammond,LA,"Hammond, LA Metropolitan Statistical Area",Hammond,LA
Monroe,LA,"Monroe, LA Metropolitan Statistical Area",Monroe,LA
Boston-Cambridge-Nashua,MA-NH,"Boston-Cambridge-Nashua, MA-NH Metropolitan NECTA",Boston,MA
Worcester,MA-CT,"Worcester, MA-CT Metropolitan NECTA",Worcester,MA
Springfield,MA-CT,"Springfield, MA-CT Metropolitan NECTA",Springfield,MA
Leominster-Gardner,MA,"Leominster-Gardner, MA Metropolitan NECTA",Leominster,MA
Pittsfield,MA,"Pittsfield, MA Metropolitan NECTA",Pittsfield,MA
New Bedford,MA,"New Bedford, MA Metropolitan NECTA",New Bedford,MA
Barnstable Town,MA,"Barnstable Town, MA Metropolitan NECTA",Barnstable Town,MA
Hagerstown-Martinsburg,MD-WV,"Hagerstown-Martinsburg, MD-WV Metropolitan Statistical Area",Hagerstown,MD
Cumberland,MD-WV,"Cumberland, MD-WV Metropolitan Statistical Area",Cumberland,MD
Salisbury,MD-DE,"Salisbury, MD-DE Metropolitan Statistical Area",Salisbury,MD
Baltimore-Columbia-Towson,MD,"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area",Baltimore,MD
California-Lexington Park,MD,"California-Lexington Park, MD Metropolitan Statistical Area",California,MD
Lewiston-Auburn,ME,"Lewiston-Auburn, ME Metropolitan NECTA",Lewiston,ME
Portland-South Portland,ME,"Portland-South Portland, ME Metropolitan NECTA",Portland,ME
Bangor,ME,"Bangor, ME Metropolitan NECTA",Bangor,ME
Detroit-Warren-Dearborn,MI,"Detroit-Warren-Dearborn, MI Metropolitan Statistical Area",Detroit,MI
Kalamazoo-Portage,MI,"Kalamazoo-Portage, MI Metropolitan Statistical Area",Kalamazoo,MI
Lansing-East Lansing,MI,"Lansing-East Lansing, MI Metropolitan Statistical Area",Lansing,MI
Niles-Benton Harbor,MI,"Niles-Benton Harbor, MI Metropolitan Statistical Area",Niles,MI
Ann Arbor,MI,"Ann Arbor, MI Metropolitan Statistical Area",Ann Arbor,MI
Grand Rapids-Wyoming,MI,"Grand Rapids-Wyoming, MI Metropolitan Statistical Area",Grand Rapids,MI
Monroe,MI,"Monroe, MI Metropolitan Statistical Area",Monroe,MI
Jackson,MI,"Jackson, MI Metropolitan Statistical Area",Jackson,MI
Battle Creek,MI,"Battle Creek, MI Metropolitan Statistical Area",Battle Creek,MI
Midland,MI,"Midland, MI Metropolitan Statistical Area",Midland,MI
Muskegon,MI,"Muskegon, MI Metropolitan Statistical Area",Muskegon,MI
Flint,MI,"Flint, MI Metropolitan Statistical Area",Flint,MI
Saginaw,MI,"Saginaw, MI Metropolitan Statistical Area",Saginaw,MI
Bay City,MI,"Bay City, MI Metropolitan Statistical Area",Bay City,MI
Minneapolis-St. Paul-Bloomington,MN-WI,"Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area",Minneapolis,MN
Duluth,MN-WI,"Duluth, MN-WI Metropolitan Statistical Area",Duluth,MN
Mankato-North Mankato,MN,"Mankato-North Mankato, MN Metropolitan Statistical Area",Mankato,MN
Rochester,MN,"Rochester, MN Metropolitan Statistical Area",Rochester,MN
St. Cloud,MN,"St. Cloud, MN Metropolitan Statistical Area",St. Cloud,MN
Kansas City,MO-KS,"Kansas City, MO-KS Metropolitan Statistical Area",Kansas City,MO
St. Louis,MO-IL,"St. Louis, MO-IL Metropolitan Statistical Area(1)",St. Louis,MO
St. Joseph,MO-KS,"St. Joseph, MO-KS Metropolitan Statistical Area",St. Joseph,MO
Cape Girardeau,MO-IL,"Cape Girardeau, MO-IL Metropolitan Statistical Area",Cape Girardeau,MO
